2025-02-09 09:25:45 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-02-09 09:25:45 [main] INFO  c.APIGateway.ApiGatewayApplication - Starting ApiGatewayApplication using Java 17.0.9 with PID 13448 (G:\BlogApp_Microservices\APIGateway\target\classes started by User in G:\BlogApp_Microservices\APIGateway)
2025-02-09 09:25:45 [main] INFO  c.APIGateway.ApiGatewayApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-09 09:25:50 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2a00d68c-512e-366a-af9a-d5ea3c3e4321
2025-02-09 09:25:55 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [After]
2025-02-09 09:25:55 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Before]
2025-02-09 09:25:55 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Between]
2025-02-09 09:25:55 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Cookie]
2025-02-09 09:25:55 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Header]
2025-02-09 09:25:55 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Host]
2025-02-09 09:25:55 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Method]
2025-02-09 09:25:55 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Path]
2025-02-09 09:25:55 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Query]
2025-02-09 09:25:55 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [ReadBody]
2025-02-09 09:25:55 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [RemoteAddr]
2025-02-09 09:25:55 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [XForwardedRemoteAddr]
2025-02-09 09:25:55 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Weight]
2025-02-09 09:25:55 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [CloudFoundryRouteService]
2025-02-09 09:25:56 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-02-09 09:25:57 [main] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
2025-02-09 09:25:57 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2025-02-09 09:25:58 [main] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2025-02-09 09:25:58 [main] INFO  c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2025-02-09 09:25:58 [main] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-02-09 09:25:58 [main] INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
2025-02-09 09:25:58 [main] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2025-02-09 09:25:58 [main] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2025-02-09 09:25:58 [main] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
2025-02-09 09:25:58 [main] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2025-02-09 09:25:58 [main] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
2025-02-09 09:25:58 [main] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2025-02-09 09:26:02 [main] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
2025-02-09 09:26:02 [main] INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2025-02-09 09:26:02 [main] INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2025-02-09 09:26:02 [main] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1739073362657 with initial instances count: 0
2025-02-09 09:26:02 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application APIGATEWAY with eureka with status UP
2025-02-09 09:26:02 [main] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1739073362672, current=UP, previous=STARTING]
2025-02-09 09:26:02 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_APIGATEWAY/192.168.0.8:APIGateway:8084: registering service...
2025-02-09 09:26:03 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_APIGATEWAY/192.168.0.8:APIGateway:8084 - registration status: 204
2025-02-09 09:26:05 [main] INFO  o.s.b.w.e.netty.NettyWebServer - Netty started on port 8084 (http)
2025-02-09 09:26:05 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8084
2025-02-09 09:26:05 [main] INFO  c.APIGateway.ApiGatewayApplication - Started ApiGatewayApplication in 24.419 seconds (process running for 34.17)
2025-02-09 09:26:32 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
2025-02-09 09:26:32 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2025-02-09 09:26:32 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2025-02-09 09:26:32 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
2025-02-09 09:26:32 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2025-02-09 09:26:32 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: false
2025-02-09 09:26:32 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2025-02-09 09:26:32 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
2025-02-09 09:30:09 [reactor-http-nio-3] INFO  com.APIGateway.filter.LoggingFilter - Incoming Request:http://localhost:8084/api/users/create-user
2025-02-09 09:30:09 [reactor-http-nio-3] INFO  com.APIGateway.filter.LoggingFilter - Method: POST
2025-02-09 09:30:09 [reactor-http-nio-3] INFO  com.APIGateway.filter.LoggingFilter - Headers: [Content-Type:"application/json", User-Agent:"PostmanRuntime/7.43.0", Accept:"*/*", Cache-Control:"no-cache", Postman-Token:"fae35a81-6a41-448a-95ec-bcaf7fac31ac", Host:"localhost:8084", Accept-Encoding:"gzip, deflate, br", Connection:"keep-alive", Content-Length:"230"]
2025-02-09 09:30:47 [reactor-http-nio-3] INFO  com.APIGateway.filter.LoggingFilter - Incoming Request:http://localhost:8084/api/users/delete/MF5666
2025-02-09 09:30:47 [reactor-http-nio-3] INFO  com.APIGateway.filter.LoggingFilter - Method: DELETE
2025-02-09 09:30:47 [reactor-http-nio-3] INFO  com.APIGateway.filter.LoggingFilter - Headers: [User-Agent:"PostmanRuntime/7.43.0", Accept:"*/*", Cache-Control:"no-cache", Postman-Token:"cb7b2840-a466-422e-bbe0-a5fe3de76c13", Host:"localhost:8084", Accept-Encoding:"gzip, deflate, br", Connection:"keep-alive"]
2025-02-09 09:30:58 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-02-09 09:31:55 [SpringApplicationShutdownHook] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application APIGATEWAY with eureka with status DOWN
2025-02-09 09:31:55 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1739073715425, current=DOWN, previous=UP]
2025-02-09 09:31:55 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_APIGATEWAY/192.168.0.8:APIGateway:8084: registering service...
2025-02-09 09:31:55 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.netty.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-02-09 09:31:55 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_APIGATEWAY/192.168.0.8:APIGateway:8084 - registration status: 204
2025-02-09 09:31:55 [netty-shutdown] INFO  o.s.b.w.e.netty.GracefulShutdown - Graceful shutdown complete
2025-02-09 09:31:57 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
